# Mouse TFs were from TcoF-DBv2 (PMID: 27789689). We performed symbol update and Ensembl gene id mapping in December, 2020. -- MG
Symbol	EntrezID	Name	Species	Symbol_20201219	EnsemblID
Neurog3	11925	neurogenin 3	mouse	Neurog3	ENSMUSG00000044312
Nfat5	54446	nuclear factor of activated T cells 5	mouse	Nfat5	ENSMUSG00000003847
Nfatc1	18018	"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1"	mouse	Nfatc1	ENSMUSG00000033016
Nfatc2	18019	"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2"	mouse	Nfatc2	ENSMUSG00000027544
Nfatc3	18021	"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3"	mouse	Nfatc3	ENSMUSG00000031902
Nfatc4	73181	"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4"	mouse	Nfatc4	ENSMUSG00000023411
Nfe2	18022	"nuclear factor, erythroid derived 2"	mouse	Nfe2	ENSMUSG00000058794
Nfe2l1	18023	"nuclear factor, erythroid derived 2,-like 1"	mouse	Nfe2l1	ENSMUSG00000038615
Nfe2l2	18024	"nuclear factor, erythroid derived 2, like 2"	mouse	Nfe2l2	ENSMUSG00000015839
Nfe2l3	18025	"nuclear factor, erythroid derived 2, like 3"	mouse	Nfe2l3	ENSMUSG00000029832
Nfia	18027	nuclear factor I/A	mouse	Nfia	ENSMUSG00000028565
Nfib	18028	nuclear factor I/B	mouse	Nfib	ENSMUSG00000008575
Nfic	18029	nuclear factor I/C	mouse	Nfic	ENSMUSG00000055053
Nfil3	18030	"nuclear factor, interleukin 3, regulated"	mouse	Nfil3	ENSMUSG00000056749
Nfix	18032	nuclear factor I/X	mouse	Nfix	ENSMUSG00000001911
Nfkb1	18033	"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"	mouse	Nfkb1	ENSMUSG00000028163
Nfkb2	18034	"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100"	mouse	Nfkb2	ENSMUSG00000025225
Nfkbia	18035	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"	mouse	Nfkbia	ENSMUSG00000021025
Nfkbib	18036	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta"	mouse	Nfkbib	ENSMUSG00000030595
Nfkbid	243910	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta"	mouse	Nfkbid	ENSMUSG00000036931
Nfkbie	18037	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon"	mouse	Nfkbie	ENSMUSG00000023947
Nfkbil1	18038	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor like 1	mouse	Nfkbil1	ENSMUSG00000042419
Nfkbiz	80859	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta"	mouse	Nfkbiz	ENSMUSG00000035356
Nfrkb	235134	nuclear factor related to kappa B binding protein	mouse	Nfrkb	ENSMUSG00000042185
Nfx1	74164	"nuclear transcription factor, X-box binding 1"	mouse	Nfx1	ENSMUSG00000028423
Nfxl1	100978	"nuclear transcription factor, X-box binding-like 1"	mouse	Nfxl1	ENSMUSG00000072889
Nfya	18044	nuclear transcription factor-Y alpha	mouse	Nfya	ENSMUSG00000023994
Nfyb	18045	nuclear transcription factor-Y beta	mouse	Nfyb	ENSMUSG00000020248
Nfyc	18046	nuclear transcription factor-Y gamma	mouse	Nfyc	ENSMUSG00000032897
Nhlh1	18071	nescient helix loop helix 1	mouse	Nhlh1	ENSMUSG00000051251
Nhlh2	18072	nescient helix loop helix 2	mouse	Nhlh2	ENSMUSG00000048540
Nkrf	77286	NF-kappaB repressing factor	mouse	Nkrf	ENSMUSG00000044149
Nkx1-1	672284	"NK1 transcription factor related, locus 1 (Drosophila)"	mouse	Nkx1-1	ENSMUSG00000029112
Nkx1-2	20231	"NK1 transcription factor related, locus 2 (Drosophila)"	mouse	Nkx1-2	ENSMUSG00000048528
Nkx2-1	21869	NK2 homeobox 1	mouse	Nkx2-1	ENSMUSG00000001496
Nkx2-2	18088	NK2 homeobox 2	mouse	Nkx2-2	ENSMUSG00000027434
Nkx2-3	18089	NK2 homeobox 3	mouse	Nkx2-3	ENSMUSG00000044220
Nkx2-4	228731	NK2 homeobox 4	mouse	Nkx2-4	ENSMUSG00000054160
Nkx2-5	18091	NK2 homeobox 5	mouse	Nkx2-5	ENSMUSG00000015579
Nkx2-6	18092	NK2 homeobox 6	mouse	Nkx2-6	ENSMUSG00000044186
Nkx2-9	18094	NK2 homeobox 9	mouse	Nkx2-9	ENSMUSG00000058669
Nkx3-1	18095	"NK-3 transcription factor, locus 1 (Drosophila)"	mouse	Nkx3-1	ENSMUSG00000022061
Nkx3-2	12020	NK3 homeobox 2	mouse	Nkx3-2	ENSMUSG00000049691
Nkx6-1	18096	NK6 homeobox 1	mouse	Nkx6-1	ENSMUSG00000035187
Nkx6-2	14912	NK6 homeobox 2	mouse	Nkx6-2	ENSMUSG00000041309
Nkx6-3	74561	NK6 homeobox 3	mouse	Nkx6-3	ENSMUSG00000063672
Nobox	18291	NOBOX oogenesis homeobox	mouse	Nobox	ENSMUSG00000029736
Noc3l	57753	nucleolar complex associated 3 homolog (S. cerevisiae)	mouse	Noc3l	ENSMUSG00000024999
Noc4l	100608	nucleolar complex associated 4 homolog (S. cerevisiae)	mouse	Noc4l	ENSMUSG00000033294
Nono	53610	"non-POU-domain-containing, octamer binding protein"	mouse	Nono	ENSMUSG00000031311
Noto	384452	notochord homolog (Xenopus laevis)	mouse	Noto	ENSMUSG00000068302
Npas1	18142	neuronal PAS domain protein 1	mouse	Npas1	ENSMUSG00000001988
Npas2	18143	neuronal PAS domain protein 2	mouse	Npas2	ENSMUSG00000026077
Npas3	27386	neuronal PAS domain protein 3	mouse	Npas3	ENSMUSG00000021010
Npas4	225872	neuronal PAS domain protein 4	mouse	Npas4	ENSMUSG00000045903
Nr0b1	11614	"nuclear receptor subfamily 0, group B, member 1"	mouse	Nr0b1	ENSMUSG00000025056
Nr0b2	23957	"nuclear receptor subfamily 0, group B, member 2"	mouse	Nr0b2	ENSMUSG00000037583
Nr1d1	217166	"nuclear receptor subfamily 1, group D, member 1"	mouse	Nr1d1	ENSMUSG00000020889
Nr1d2	353187	"nuclear receptor subfamily 1, group D, member 2"	mouse	Nr1d2	ENSMUSG00000021775
Nr1h2	22260	"nuclear receptor subfamily 1, group H, member 2"	mouse	Nr1h2	ENSMUSG00000060601
Nr1h3	22259	"nuclear receptor subfamily 1, group H, member 3"	mouse	Nr1h3	ENSMUSG00000002108
Nr1h4	20186	"nuclear receptor subfamily 1, group H, member 4"	mouse	Nr1h4	ENSMUSG00000047638
Nr1h5	381463	"nuclear receptor subfamily 1, group H, member 5"	mouse	Nr1h5	ENSMUSG00000048938
Nr1i2	18171	"nuclear receptor subfamily 1, group I, member 2"	mouse	Nr1i2	ENSMUSG00000022809
Nr1i3	12355	"nuclear receptor subfamily 1, group I, member 3"	mouse	Nr1i3	ENSMUSG00000005677
Nr2c1	22025	"nuclear receptor subfamily 2, group C, member 1"	mouse	Nr2c1	ENSMUSG00000005897
Nr2c2	22026	"nuclear receptor subfamily 2, group C, member 2"	mouse	Nr2c2	ENSMUSG00000005893
Nr2e1	21907	"nuclear receptor subfamily 2, group E, member 1"	mouse	Nr2e1	ENSMUSG00000019803
Nr2e3	23958	"nuclear receptor subfamily 2, group E, member 3"	mouse	Nr2e3	ENSMUSG00000032292
Nr2f1	13865	"nuclear receptor subfamily 2, group F, member 1"	mouse	Nr2f1	ENSMUSG00000069171
Nr2f2	11819	"nuclear receptor subfamily 2, group F, member 2"	mouse	Nr2f2	ENSMUSG00000030551
Nr2f6	13864	"nuclear receptor subfamily 2, group F, member 6"	mouse	Nr2f6	ENSMUSG00000002393
Nr3c1	14815	"nuclear receptor subfamily 3, group C, member 1"	mouse	Nr3c1	ENSMUSG00000024431
Nr3c2	110784	"nuclear receptor subfamily 3, group C, member 2"	mouse	Nr3c2	ENSMUSG00000031618
Nr4a1	15370	"nuclear receptor subfamily 4, group A, member 1"	mouse	Nr4a1	ENSMUSG00000023034
Nr4a2	18227	"nuclear receptor subfamily 4, group A, member 2"	mouse	Nr4a2	ENSMUSG00000026826
Nr4a3	18124	"nuclear receptor subfamily 4, group A, member 3"	mouse	Nr4a3	ENSMUSG00000028341
Nr5a1	26423	"nuclear receptor subfamily 5, group A, member 1"	mouse	Nr5a1	ENSMUSG00000026751
Nr5a2	26424	"nuclear receptor subfamily 5, group A, member 2"	mouse	Nr5a2	ENSMUSG00000026398
Nr6a1	14536	"nuclear receptor subfamily 6, group A, member 1"	mouse	Nr6a1	ENSMUSG00000063972
Nrf1	18181	nuclear respiratory factor 1	mouse	Nrf1	ENSMUSG00000058440
Nrl	18185	neural retina leucine zipper gene	mouse	Nrl	ENSMUSG00000040632
Olig1	50914	oligodendrocyte transcription factor 1	mouse	Olig1	ENSMUSG00000046160
Olig2	50913	oligodendrocyte transcription factor 2	mouse	Olig2	ENSMUSG00000039830
Olig3	94222	oligodendrocyte transcription factor 3	mouse	Olig3	ENSMUSG00000045591
Onecut1	15379	"one cut domain, family member 1"	mouse	Onecut1	ENSMUSG00000043013
Onecut2	225631	"one cut domain, family member 2"	mouse	Onecut2	ENSMUSG00000045991
Onecut3	246086	"one cut domain, family member 3"	mouse	Onecut3	ENSMUSG00000045518
Osr1	23967	odd-skipped related 1 (Drosophila)	mouse	Osr1	ENSMUSG00000048387
Osr2	107587	odd-skipped related 2	mouse	Osr2	ENSMUSG00000022330
Otp	18420	orthopedia homolog (Drosophila)	mouse	Otp	ENSMUSG00000021685
Otx1	18423	orthodenticle homolog 1	mouse	Otx1	ENSMUSG00000005917
Otx2	18424	orthodenticle homolog 2	mouse	Otx2	ENSMUSG00000021848
Ovol1	18426	OVO homolog-like 1 (Drosophila)	mouse	Ovol1	ENSMUSG00000024922
Ovol2	107586	ovo-like 2 (Drosophila)	mouse	Ovol2	ENSMUSG00000037279
Ovol3	381867	OVO homolog-like 3 (Drosophila)	mouse	Ovol3	ENSMUSG00000100512
Parp1	11545	"poly (ADP-ribose) polymerase family, member 1"	mouse	Parp1	ENSMUSG00000026496
Parp12	243771	"poly (ADP-ribose) polymerase family, member 12"	mouse	Parp12	ENSMUSG00000038507
Patz1	56218	POZ (BTB) and AT hook containing zinc finger 1	mouse	Patz1	ENSMUSG00000020453
Pawr	114774	"PRKC, apoptosis, WT1, regulator"	mouse	Pawr	ENSMUSG00000035873
Pax1	18503	paired box 1	mouse	Pax1	ENSMUSG00000037034
Pax2	18504	paired box 2	mouse	Pax2	ENSMUSG00000004231
Pax3	18505	paired box 3	mouse	Pax3	ENSMUSG00000004872
Pax4	18506	paired box 4	mouse	Pax4	ENSMUSG00000029706
Pax5	18507	paired box 5	mouse	Pax5	ENSMUSG00000014030
Pax6	18508	paired box 6	mouse	Pax6	ENSMUSG00000027168
Pax7	18509	paired box 7	mouse	Pax7	ENSMUSG00000028736
Pax8	18510	paired box 8	mouse	Pax8	ENSMUSG00000026976
Pax9	18511	paired box 9	mouse	Pax9	ENSMUSG00000001497
Paxbp1	67367	PAX3 and PAX7 binding protein 1	mouse	Paxbp1	ENSMUSG00000022974
Pbrm1	66923	polybromo 1	mouse	Pbrm1	ENSMUSG00000042323
Pbx1	18514	pre B cell leukemia homeobox 1	mouse	Pbx1	ENSMUSG00000052534
Pbx2	18515	pre B cell leukemia homeobox 2	mouse	Pbx2	ENSMUSG00000034673
Pbx3	18516	pre B cell leukemia homeobox 3	mouse	Pbx3	ENSMUSG00000038718
Pbx4	80720	pre B cell leukemia homeobox 4	mouse	Pbx4	ENSMUSG00000031860
Pcbp1	23983	poly(rC) binding protein 1	mouse	Pcbp1	ENSMUSG00000051695
Pcbp2	18521	poly(rC) binding protein 2	mouse	Pcbp2	ENSMUSG00000056851
Pcbp3	59093	poly(rC) binding protein 3	mouse	Pcbp3	ENSMUSG00000001120
Pcbp4	59092	poly(rC) binding protein 4	mouse	Pcbp4	ENSMUSG00000023495
Pcgf6	71041	polycomb group ring finger 6	mouse	Pcgf6	ENSMUSG00000025050
Pdx1	18609	pancreatic and duodenal homeobox 1	mouse	Pdx1	ENSMUSG00000029644
Peg3	18616	paternally expressed 3	mouse	Peg3	ENSMUSG00000002265
Pgr	18667	progesterone receptor	mouse	Pgr	ENSMUSG00000031870
Phb	18673	prohibitin	mouse	Phb	ENSMUSG00000038845
Phb2	12034	prohibitin 2	mouse	Phb2	ENSMUSG00000004264
Phf20	228829	PHD finger protein 20	mouse	Phf20	ENSMUSG00000038116
Phf5a	68479	PHD finger protein 5A	mouse	Phf5a	ENSMUSG00000061360
Phox2a	11859	paired-like homeobox 2a	mouse	Phox2a	ENSMUSG00000007946
Phox2b	18935	paired-like homeobox 2b	mouse	Phox2b	ENSMUSG00000012520
Phtf1	18685	putative homeodomain transcription factor 1	mouse	Phtf1	ENSMUSG00000058388
Phtf2	68770	putative homeodomain transcription factor 2	mouse	Phtf2	ENSMUSG00000039987
Pitx1	18740	paired-like homeodomain transcription factor 1	mouse	Pitx1	ENSMUSG00000021506
Pitx2	18741	paired-like homeodomain transcription factor 2	mouse	Pitx2	ENSMUSG00000028023
Pitx3	18742	paired-like homeodomain transcription factor 3	mouse	Pitx3	ENSMUSG00000025229
Pknox1	18771	Pbx/knotted 1 homeobox	mouse	Pknox1	ENSMUSG00000006705
Pknox2	208076	Pbx/knotted 1 homeobox 2	mouse	Pknox2	ENSMUSG00000035934
Plag1	56711	pleiomorphic adenoma gene 1	mouse	Plag1	ENSMUSG00000003282
Plagl1	22634	pleiomorphic adenoma gene-like 1	mouse	Plagl1	ENSMUSG00000019817
Plagl2	54711	pleiomorphic adenoma gene-like 2	mouse	Plagl2	ENSMUSG00000051413
Plek	56193	pleckstrin	mouse	Plek	ENSMUSG00000020120
Pogz	229584	pogo transposable element with ZNF domain	mouse	Pogz	ENSMUSG00000038902
Pou1f1	18736	"POU domain, class 1, transcription factor 1"	mouse	Pou1f1	ENSMUSG00000004842
Pou2af1	18985	"POU domain, class 2, associating factor 1"	mouse	Pou2af1	ENSMUSG00000032053
Pou2f1	18986	"POU domain, class 2, transcription factor 1"	mouse	Pou2f1	ENSMUSG00000026565
Pou2f2	18987	"POU domain, class 2, transcription factor 2"	mouse	Pou2f2	ENSMUSG00000008496
Pou2f3	18988	"POU domain, class 2, transcription factor 3"	mouse	Pou2f3	ENSMUSG00000032015
Pou3f1	18991	"POU domain, class 3, transcription factor 1"	mouse	Pou3f1	ENSMUSG00000090125
Pou3f2	18992	"POU domain, class 3, transcription factor 2"	mouse	Pou3f2	ENSMUSG00000095139
Pou3f3	18993	"POU domain, class 3, transcription factor 3"	mouse	Pou3f3	ENSMUSG00000045515
Pou3f4	18994	"POU domain, class 3, transcription factor 4"	mouse	Pou3f4	ENSMUSG00000056854
Pou4f1	18996	"POU domain, class 4, transcription factor 1"	mouse	Pou4f1	ENSMUSG00000048349
Pou4f2	18997	"POU domain, class 4, transcription factor 2"	mouse	Pou4f2	ENSMUSG00000031688
Pou4f3	18998	"POU domain, class 4, transcription factor 3"	mouse	Pou4f3	ENSMUSG00000024497
Pou5f1	18999	"POU domain, class 5, transcription factor 1"	mouse	Pou5f1	ENSMUSG00000024406
Pou5f2	75507	"POU domain class 5, transcription factor 2"	mouse	Pou5f2	ENSMUSG00000093668
Pou6f1	19009	"POU domain, class 6, transcription factor 1"	mouse	Pou6f1	ENSMUSG00000009739
Pou6f2	218030	"POU domain, class 6, transcription factor 2"	mouse	Pou6f2	ENSMUSG00000009734
Ppara	19013	peroxisome proliferator activated receptor alpha	mouse	Ppara	ENSMUSG00000022383
Ppard	19015	peroxisome proliferator activator receptor delta	mouse	Ppard	ENSMUSG00000002250
Pparg	19016	peroxisome proliferator activated receptor gamma	mouse	Pparg	ENSMUSG00000000440
Ppp1r13l	333654	"protein phosphatase 1, regulatory (inhibitor) subunit 13 like"	mouse	Ppp1r13l	ENSMUSG00000040734
Prdm1	12142	"PR domain containing 1, with ZNF domain"	mouse	Prdm1	ENSMUSG00000038151
Prdm10	382066	PR domain containing 10	mouse	Prdm10	ENSMUSG00000042496
Prdm11	100042784	PR domain containing 11	mouse	Prdm11	ENSMUSG00000075028
Prdm12	381359	PR domain containing 12	mouse	Prdm12	ENSMUSG00000079466
Prdm13	230025	PR domain containing 13	mouse	Prdm13	ENSMUSG00000040478
Prdm14	383491	PR domain containing 14	mouse	Prdm14	ENSMUSG00000042414
Prdm15	114604	PR domain containing 15	mouse	Prdm15	ENSMUSG00000014039
Prdm16	70673	PR domain containing 16	mouse	Prdm16	ENSMUSG00000039410
Prdm2	110593	"PR domain containing 2, with ZNF domain"	mouse	Prdm2	ENSMUSG00000057637
Prdm4	72843	PR domain containing 4	mouse	Prdm4	ENSMUSG00000035529
Prdm5	70779	PR domain containing 5	mouse	Prdm5	ENSMUSG00000029913
Prdm6	225518	PR domain containing 6	mouse	Prdm6	ENSMUSG00000069378
Prdm8	77630	PR domain containing 8	mouse	Prdm8	ENSMUSG00000035456
Prdm9	213389	PR domain containing 9	mouse	Prdm9	ENSMUSG00000051977
Preb	50907	prolactin regulatory element binding	mouse	Preb	ENSMUSG00000045302
Prkrir	72981	"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)"	mouse	Thap12	ENSMUSG00000030753
Prop1	19127	paired like homeodomain factor 1	mouse	Prop1	ENSMUSG00000044542
Prox1	19130	prospero homeobox 1	mouse	Prox1	ENSMUSG00000010175
Prox2	73422	prospero homeobox 2	mouse	Prox2	ENSMUSG00000042320
Prrx1	18933	paired related homeobox 1	mouse	Prrx1	ENSMUSG00000026586
Prrx2	20204	paired related homeobox 2	mouse	Prrx2	ENSMUSG00000039476
Prrxl1	107751	paired related homeobox protein-like 1	mouse	Prrxl1	ENSMUSG00000041730
Pspc1	66645	paraspeckle protein 1	mouse	Pspc1	ENSMUSG00000021938
Ptf1a	19213	"pancreas specific transcription factor, 1a"	mouse	Ptf1a	ENSMUSG00000026735
Pura	19290	purine rich element binding protein A	mouse	Pura	ENSMUSG00000043991
Purb	19291	purine rich element binding protein B	mouse	Purb	ENSMUSG00000094483
Purg	75029	purine-rich element binding protein G	mouse	Purg	ENSMUSG00000049184
Rara	19401	"retinoic acid receptor, alpha"	mouse	Rara	ENSMUSG00000037992
Rarb	218772	"retinoic acid receptor, beta"	mouse	Rarb	ENSMUSG00000017491
Rarg	19411	"retinoic acid receptor, gamma"	mouse	Rarg	ENSMUSG00000001288
Rax	19434	retina and anterior neural fold homeobox	mouse	Rax	ENSMUSG00000024518
Rbak	57782	RB-associated KRAB zinc finger	mouse	Rbak	ENSMUSG00000061898
Rbm22	66810	RNA binding motif protein 22	mouse	Rbm22	ENSMUSG00000024604
Rbpj	19664	recombination signal binding protein for immunoglobulin kappa J region	mouse	Rbpj	ENSMUSG00000039191
Rbpjl	19668	recombination signal binding protein for immunoglobulin kappa J region-like	mouse	Rbpjl	ENSMUSG00000017007
Rc3h1	381305	RING CCCH (C3H) domains 1	mouse	Rc3h1	ENSMUSG00000040423
Rc3h2	319817	ring finger and CCCH-type zinc finger domains 2	mouse	Rc3h2	ENSMUSG00000075376
Rcor1	217864	REST corepressor 1	mouse	Rcor1	ENSMUSG00000037896
Rcor2	104383	REST corepressor 2	mouse	Rcor2	ENSMUSG00000024968
Rcor3	214742	REST corepressor 3	mouse	Rcor3	ENSMUSG00000037395
Rel	19696	reticuloendotheliosis oncogene	mouse	Rel	ENSMUSG00000020275
Rela	19697	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	mouse	Rela	ENSMUSG00000024927
Relb	19698	avian reticuloendotheliosis viral (v-rel) oncogene related B	mouse	Relb	ENSMUSG00000002983
Rere	68703	arginine glutamic acid dipeptide (RE) repeats	mouse	Rere	ENSMUSG00000039852
Rest	19712	RE1-silencing transcription factor	mouse	Rest	ENSMUSG00000029249
Rex2	100043034	reduced expression 2	mouse	Rex2	ENSMUSG00000067919
Rfx1	19724	"regulatory factor X, 1 (influences HLA class II expression)"	mouse	Rfx1	ENSMUSG00000031706
Rfx2	19725	"regulatory factor X, 2 (influences HLA class II expression)"	mouse	Rfx2	ENSMUSG00000024206
Rfx3	19726	"regulatory factor X, 3 (influences HLA class II expression)"	mouse	Rfx3	ENSMUSG00000040929
Rfx4	71137	"regulatory factor X, 4 (influences HLA class II expression)"	mouse	Rfx4	ENSMUSG00000020037
Rfx5	53970	"regulatory factor X, 5 (influences HLA class II expression)"	mouse	Rfx5	ENSMUSG00000005774
Rfx6	320995	"regulatory factor X, 6"	mouse	Rfx6	ENSMUSG00000019900
Rfx7	319758	"regulatory factor X, 7"	mouse	Rfx7	ENSMUSG00000037674
Rfx8	619289	regulatory factor X 8	mouse	Rfx8	ENSMUSG00000057173
Rfxank	19727	regulatory factor X-associated ankyrin-containing protein	mouse	Rfxank	ENSMUSG00000036120
Rfxap	170767	regulatory factor X-associated protein	mouse	Rfxap	ENSMUSG00000036615
Rhox1	385343	reproductive homeobox 1	mouse	Rhox1	ENSMUSG00000071773
Rhox10	434769	reproductive homeobox 10	mouse	Rhox10	ENSMUSG00000053909
Rhox11	194738	reproductive homeobox 11	mouse	Rhox11	ENSMUSG00000051038
Rhox12	382282	reproductive homeobox 12	mouse	Rhox12	ENSMUSG00000071766
Rhox13	73614	reproductive homeobox 13	mouse	Rhox13	ENSMUSG00000050197
Rhox2a	75199	reproductive homeobox 2A	mouse	Rhox2a	ENSMUSG00000051827
Rhox2b	100039913	reproductive homeobox 2B	mouse	Rhox2b	ENSMUSG00000079638
Rhox2c	100039948	reproductive homeobox 2C	mouse	Rhox2c	ENSMUSG00000079637
Rhox2d	434760	reproductive homeobox 2D	mouse	Rhox2d	ENSMUSG00000095698
Rhox2e	100040016	reproductive homeobox 2E	mouse	Rhox2e	ENSMUSG00000096788
Rhox3e	100135657	reproductive homeobox 3E	mouse	Rhox3e	ENSMUSG00000059626
Rhox3f	621852	reproductive homeobox 3F	mouse	Rhox3f	ENSMUSG00000095510
Rhox3h	434758	reproductive homeobox 3H	mouse	Rhox3h	ENSMUSG00000071769
Rhox4a	664609	reproductive homeobox 4A	mouse	Rhox4a	ENSMUSG00000079639
Rhox4b	57737	reproductive homeobox 4B	mouse	Rhox4b	ENSMUSG00000071771
Rhox4c	434759	reproductive homeobox 4C	mouse	Rhox4c	ENSMUSG00000079635
Rhox4d	664610	reproductive homeobox 4D	mouse	Rhox4d	ENSMUSG00000079633
Rhox4e	194856	reproductive homeobox 4E	mouse	Rhox4e	ENSMUSG00000071770
Rhox4f	636177	reproductive homeobox 4F	mouse	Rhox4f	ENSMUSG00000079630
Rhox4g	664608	reproductive homeobox 4G	mouse	Rhox4g	ENSMUSG00000079628
Rhox5	18617	reproductive homeobox 5	mouse	Rhox5	ENSMUSG00000095180
Rhox6	19202	reproductive homeobox 6	mouse	Rhox6	ENSMUSG00000006200
Rhox7a	547168	reproductive homeobox 7A	mouse	Rhox7a	ENSMUSG00000071767
Rhox8	434768	reproductive homeobox 8	mouse	Rhox8	ENSMUSG00000064137
Rhox9	104384	reproductive homeobox 9	mouse	Rhox9	ENSMUSG00000068048
Rlf	109263	rearranged L-myc fusion sequence	mouse	Rlf	ENSMUSG00000049878
Rora	19883	RAR-related orphan receptor alpha	mouse	Rora	ENSMUSG00000032238
Rorb	225998	RAR-related orphan receptor beta	mouse	Rorb	ENSMUSG00000036192
Rorc	19885	RAR-related orphan receptor gamma	mouse	Rorc	ENSMUSG00000028150
Rreb1	68750	ras responsive element binding protein 1	mouse	Rreb1	ENSMUSG00000039087
Rsl1	380855	regulator of sex limited protein 1	mouse	Rsl1	ENSMUSG00000058900
Runx1	12394	runt related transcription factor 1	mouse	Runx1	ENSMUSG00000022952
Runx1t1	12395	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"	mouse	Runx1t1	ENSMUSG00000006586
Runx2	12393	runt related transcription factor 2	mouse	Runx2	ENSMUSG00000039153
Runx3	12399	runt related transcription factor 3	mouse	Runx3	ENSMUSG00000070691
Rxra	20181	retinoid X receptor alpha	mouse	Rxra	ENSMUSG00000015846
Rxrb	20182	retinoid X receptor beta	mouse	Rxrb	ENSMUSG00000039656
Rxrg	20183	retinoid X receptor gamma	mouse	Rxrg	ENSMUSG00000015843
Sall1	58198	sal-like 1 (Drosophila)	mouse	Sall1	ENSMUSG00000031665
Sall2	50524	sal-like 2 (Drosophila)	mouse	Sall2	ENSMUSG00000049532
Sall3	20689	sal-like 3 (Drosophila)	mouse	Sall3	ENSMUSG00000024565
Sall4	99377	sal-like 4 (Drosophila)	mouse	Sall4	ENSMUSG00000027547
Satb1	20230	special AT-rich sequence binding protein 1	mouse	Satb1	ENSMUSG00000023927
Satb2	212712	special AT-rich sequence binding protein 2	mouse	Satb2	ENSMUSG00000038331
Scaper	244891	S phase cyclin A-associated protein in the ER	mouse	Scaper	ENSMUSG00000034007
Scrt1	170729	"scratch homolog 1, zinc finger protein (Drosophila)"	mouse	Scrt1	ENSMUSG00000048385
Scrt2	545474	"scratch homolog 2, zinc finger protein (Drosophila)"	mouse	Scrt2	ENSMUSG00000060257
Scx	20289	scleraxis	mouse	Scx	ENSMUSG00000034161
Sebox	18292	SEBOX homeobox	mouse	Sebox	ENSMUSG00000001103
Setbp1	240427	SET binding protein 1	mouse	Setbp1	ENSMUSG00000024548
Sfpq	71514	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	mouse	Sfpq	ENSMUSG00000028820
Shox2	20429	short stature homeobox 2	mouse	Shox2	ENSMUSG00000027833
Sim1	20464	single-minded homolog 1 (Drosophila)	mouse	Sim1	ENSMUSG00000019913
Sim2	20465	single-minded homolog 2 (Drosophila)	mouse	Sim2	ENSMUSG00000062713
Six1	20471	sine oculis-related homeobox 1	mouse	Six1	ENSMUSG00000051367
Six2	20472	sine oculis-related homeobox 2	mouse	Six2	ENSMUSG00000024134
Six3	20473	sine oculis-related homeobox 3	mouse	Six3	ENSMUSG00000038805
Six4	20474	sine oculis-related homeobox 4	mouse	Six4	ENSMUSG00000034460
Six5	20475	sine oculis-related homeobox 5	mouse	Six5	ENSMUSG00000040841
Six6	20476	sine oculis-related homeobox 6	mouse	Six6	ENSMUSG00000021099
Ski	20481	ski sarcoma viral oncogene homolog (avian)	mouse	Ski	ENSMUSG00000029050
Skil	20482	SKI-like	mouse	Skil	ENSMUSG00000027660
Skor1	207667	SKI family transcriptional corepressor 1	mouse	Skor1	ENSMUSG00000022245
Skor2	664805	SKI family transcriptional corepressor 2	mouse	Skor2	ENSMUSG00000091519
Slc30a9	109108	"solute carrier family 30 (zinc transporter), member 9"	mouse	Slc30a9	ENSMUSG00000029221
Smad1	17125	SMAD family member 1	mouse	Smad1	ENSMUSG00000031681
Smad2	17126	SMAD family member 2	mouse	Smad2	ENSMUSG00000024563
Smad3	17127	SMAD family member 3	mouse	Smad3	ENSMUSG00000032402
Smad4	17128	SMAD family member 4	mouse	Smad4	ENSMUSG00000024515
Smad5	17129	SMAD family member 5	mouse	Smad5	ENSMUSG00000021540
Smad6	17130	SMAD family member 6	mouse	Smad6	ENSMUSG00000036867
Smad7	17131	SMAD family member 7	mouse	Smad7	ENSMUSG00000025880
Smad9	55994	SMAD family member 9	mouse	Smad9	ENSMUSG00000027796
Smarca1	93761	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"	mouse	Smarca1	ENSMUSG00000031099
Smarca2	67155	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	mouse	Smarca2	ENSMUSG00000024921
